{us:gov:federal:hc}HireDate,{us:gov:federal:hc}RecordID,{us:gov:federal:hc}DOB,{us:gov:federal:hc}Gender,{us:gov:federal:hc}GivenName,{us:gov:federal:hc}LastName,{us:gov:federal:hc}MaritalStatus,{us:gov:federal:hc}MiddleName,{us:gov:federal:hc}PersonTypeCode,{us:gov:federal:hc}SSN,{us:gov:federal:hc}W4StandardDeductionIndicator,{us:gov:federal:hc}AddrCity,{us:gov:federal:hc}AddrLine,{us:gov:federal:hc}AddrPostalCode,{us:gov:federal:hc}AddrState,{us:gov:federal:hc}AddrType,{us:gov:federal:hc}CountryCode,{us:gov:federal:hc}AdjBasicPay,{us:gov:federal:hc}AgySubElementCode,{us:gov:federal:hc}BargUnitStatus,{us:gov:federal:hc}BasicPay,{us:gov:federal:hc}DutyStationCode,{us:gov:federal:hc}FLSA,{us:gov:federal:hc}Grade,{us:gov:federal:hc}OccSeries,{us:gov:federal:hc}OrgCode,{us:gov:federal:hc}POI,{us:gov:federal:hc}PON,{us:gov:federal:hc}PRD,{us:gov:federal:hc}PayBasis,{us:gov:federal:hc}PayPlan,{us:gov:federal:hc}PayTableID,{us:gov:federal:hc}PosApprText,{us:gov:federal:hc}PosNumber,{us:gov:federal:hc}PosOrgTitle,{us:gov:federal:hc}PosTitle,{us:gov:federal:hc}SSPPayTableID,{us:gov:federal:hc}SteporRate,{us:gov:federal:hc}TODHrs,{us:gov:federal:hc}Tenure,{us:gov:federal:hc}TotalSalary,{us:gov:federal:hc}WorkSchedule,{us:gov:federal:hc}AnnuitantInd,{us:gov:federal:hc}FEGLI,{us:gov:federal:hc}RetirementPlan,{us:gov:federal:hc}SCDLeave,{us:gov:federal:hc}SCDRetirement,{us:gov:federal:hc}TypeOfAppt,{us:gov:federal:hc}VetPref,{us:gov:federal:hc}VetPrefRIF,{us:gov:federal:hc}TSPAcctTypeCode,{us:gov:federal:hc}TSPAmt,{us:gov:federal:hc}TSPEffectiveDate,{us:gov:federal:hc}TSPRate,{us:gov:federal:hc}TSPSCD,{us:gov:federal:hc}TSPStatusCode,{us:gov:federal:hc}TSPStatusDate,{us:gov:federal:hc}FEHBCode
2021-01-31,00001597,1992-03-02,M,CArl,Five,S,NMN,02,310001044,Yes,Oregon City,3203 Main St,97045,OR,002,US,10800,GS28,8888,172500,180380105,E,01,0905,ISE,1155,047 000016,0,PA,CA,0000,105.S00I0321.50.11.H40..,90001214,Chairperson,Chairperson,0000,00,40,3,183300,F,9,M1,KR,2021-01-31,2021-01-31,20,1,N,1,200,2021-01-31,0,2021-01-31,Y,2021-01-31,H41
2021-01-31,00001598,1990-07-05,M,CArl,Three,M,NMN,02,310001042,Yes,Paducah,4986 Main St,42001,KY,002,US,10800,GS28,8888,172500,180380105,E,01,0905,ISE,1155,047 000016,0,PA,CA,0000,105.S00I0321.50.11.H40..,90001214,Chairperson,Chairperson,0000,00,40,3,183300,F,9,D0,KF,2021-01-31,2021-01-31,20,1,N,1,300,2021-01-31,0,2021-01-31,Y,2021-01-31,472
2021-01-31,00001599,1978-05-26,F,Edward,Three,M,NMN,02,310001047,Yes,Columbia,1098 Main St,21045,MD,002,US,0,GS28,8888,48.39,540480039,E,00,0301,ISE,1155,047 000016,0,PH,ED,0000,105.S00I0321.50.11.H40..,90001217,Expert,Expert,0000,00,40,3,48.39,F,9,U1,K,2021-01-31,2021-01-31,20,1,N,1,100,2021-01-31,0,2021-01-31,Y,2021-01-31,N62
2021-01-31,00001600,1958-09-12,M,Edward,Four,M,NMN,02,310001048,Yes,Washington,4902 Main St,20007,DC,002,US,0,GS28,8888,64.69,540480039,E,00,0301,ISE,1155,047 000016,0,PH,ED,0000,105.S00I0321.50.11.H40..,90001217,Expert,Expert,0000,00,40,2,64.69,F,9,K0,1,1980-07-07,1980-07-07,15,1,N,1,100,2021-01-31,0,,Y,2021-01-31,JN5
2021-01-31,00001601,1990-07-30,M,Edward,Two,M,NMN,02,310001046,Yes,Newark,2621 Main St,19711,DE,002,US,0,GS28,8888,46.96,540480039,E,00,0301,ISE,1155,047 000016,0,PH,ED,0000,105.S00I0321.50.11.H40..,90001217,Expert,Expert,0000,00,40,3,46.96,F,9,P0,KR,2021-01-31,2021-01-31,20,1,N,1,500,2021-01-31,0,2021-01-31,Y,2021-01-31,P32
2021-01-31,00001602,1985-05-01,F,Edward,Five,M,NMN,02,310001049,No,London,4443 Main St,40741,KY,002,US,0,GS28,8888,43.12,540480039,E,00,0301,ISE,1155,047 000016,0,PH,ED,0000,105.S00I0321.50.11.H40..,90001217,Expert,Expert,0000,00,40,3,43.12,F,9,Q1,K,2021-01-31,2021-01-31,20,1,N,1,120,2021-01-31,0,2021-01-31,Y,2021-01-31,475
2021-01-31,00001603,1962-06-21,M,Graham,Two,M,NMN,02,310001056,Yes,Las Vegas,4148 Main St,89147,NV,002,US,20644,GS28,8888,125188,320120003,E,15,0260,ISE,1155,047 000016,0,PA,GM,0000,105.S00I0321.50.11.H40..,90001233,Supv Equal Employment Specialist,Supv Equal Employment Speciali,0000,00,40,1,145832,F,9,C0,K,1986-03-01,1986-03-01,10,1,N,1,310,2021-01-31,0,1986-03-01,Y,2021-01-31,112
2021-01-31,00001604,1961-07-26,M,Graham,Four,M,NMN,02,310001058,No,Oregon City,2556 Main St,97045,OR,002,US,21858,GS28,8888,132552,320120003,E,15,0260,ISE,1155,047 000016,0,PA,GM,0000,105.S00I0321.50.11.H40..,90001233,Supv Equal Employment Specialist,Supv Equal Employment Speciali,0000,00,40,1,154410,F,9,I1,K,1990-07-01,1990-07-01,10,1,N,1,90,2021-01-31,0,1990-07-01,Y,2021-01-31,H42
2021-01-31,00001605,1960-01-27,F,Graham,Five,M,NMN,02,310001059,Yes,North Bethesda,3028 Main St,20852,MD,002,US,18139,GS28,8888,90064,553100079,E,13,0260,ISE,1155,047 000016,0,PA,GM,0000,105.S00I0321.50.11.H40..,90001223,Supv Equal Employment Specialist,Supv Equal Employment Speciali,0000,00,40,1,108203,F,9,U1,K,1987-02-01,1987-02-01,10,1,N,1,30,2021-01-31,0,1987-02-01,Y,2021-01-31,JN2
2021-01-31,00001606,1959-05-24,F,Graham,Three,S,NMN,02,310001057,Yes,Vienna,1031 Main Street,22182,VA,002,US,15396,GS28,8888,100167,510468550,E,14,0260,ISE,1155,047 000016,0,PA,GM,0000,105.S00I0321.50.11.H40..,90001234,Supv Equal Employment Specialist,Supv Equal Employment Speciali,0000,00,40,1,115563,F,9,R1,K,1989-10-01,1989-10-01,10,1,N,1,50,2021-01-31,0,1989-10-01,Y,2021-01-31,F51
2021-01-31,00001609,1960-07-27,F,Graham,One,M,NMN,02,310001055,Yes,Burlington,3229 Main St,53105,WI,002,US,16538,GS28,8888,82117,553100079,E,13,0260,ISE,1155,047 000016,0,PA,GM,0000,105.S00I0321.50.11.H40..,90001223,Supv Equal Employment Specialist,Supv Equal Employment Speciali,0000,00,40,3,98655,F,9,W0,K,1980-01-05,1980-01-05,20,1,N,1,220,2021-01-31,0,2021-01-13,Y,2021-01-31,N62
