id,Order number,Date,Plant family,Placement,Phone,Color,Cost
303,1308,6/21/2018,Thelenellaceae,1675 Crescent Oaks Alley,365-932-9609,Maroon,6.38
304,2463,10/25/2018,Asteraceae,2 Gerald Terrace,954-961-3171,Maroon,5.67
305,1594,6/3/2018,Onagraceae,69 Southridge Crossing,703-422-1119,Crimson,6.60
306,1811,6/28/2018,Asteraceae,952 Debs Center,993-584-5502,Pink,8.05
307,1473,8/7/2018,Asteraceae,8916 Nova Circle,773-330-6544,Indigo,9.02
308,1516,10/31/2018,Uncertain Ascomycota Family,54 Pierstorff Road,275-727-3191,Purple,8.60
309,1374,10/26/2018,Asteraceae,4 Armistice Crossing,752-224-1729,Goldenrod,6.82
310,1681,9/4/2018,Polygonaceae,5 Little Fleur Road,468-912-8669,Turquoise,9.71
311,2093,9/7/2018,Campanulaceae,56 Bunting Center,445-321-6422,Blue,6.28
312,1575,10/4/2018,Lamiaceae,78 Northport Parkway,407-144-7654,Fuscia,6.14
313,1378,8/1/2018,Salicaceae,88096 Basil Point,474-366-6830,Yellow,7.89
314,1103,7/6/2018,Scrophulariaceae,48470 Schiller Plaza,415-586-8448,Blue,6.10
315,1498,6/15/2018,Fabaceae,7 Red Cloud Trail,794-939-2365,Khaki,7.32
316,1390,7/2/2018,Dennstaedtiaceae,0323 Bayside Pass,710-750-7557,Crimson,6.04
317,1228,5/3/2018,Salicaceae,4 Mccormick Crossing,269-129-2711,Maroon,9.12
318,2899,10/15/2018,Caryophyllaceae,4365 Tennyson Point,312-393-3656,Puce,9.70
319,2036,5/9/2018,Asteraceae,3 Warner Place,767-105-7029,Aquamarine,6.05
320,1781,6/24/2018,Asteraceae,37 Hallows Lane,911-514-0623,Indigo,5.68
321,1092,10/29/2018,Papaveraceae,0 Kenwood Plaza,319-983-5008,Fuscia,8.78
322,1111,10/9/2018,Rosaceae,28680 South Pass,483-448-6374,Khaki,8.59
323,2187,10/5/2018,Rosaceae,78002 Helena Way,966-612-9394,Violet,7.14
324,1931,10/23/2018,Lycopodiaceae,6124 Kim Alley,968-872-9042,Puce,7.99
325,1731,8/16/2018,Alismataceae,4 Hansons Plaza,864-661-2627,Teal,7.24
326,1390,6/29/2018,Asteraceae,5 Dixon Drive,301-577-6660,Pink,9.78
327,2596,8/22/2018,Hymenophyllaceae,09 Nancy Point,112-406-4963,Pink,5.13
328,1335,7/29/2018,Malvaceae,09182 Coleman Road,294-726-6154,Mauv,7.64
329,2666,6/5/2018,Lemnaceae,91 6th Terrace,549-492-9320,Puce,6.77
330,2194,5/24/2018,Onagraceae,9 Melvin Parkway,803-916-3318,Maroon,8.99
331,1526,6/13/2018,Ophioglossaceae,2 Weeping Birch Parkway,752-642-1319,Khaki,6.67
332,2083,10/21/2018,Convolvulaceae,9297 Washington Road,376-762-8644,Maroon,6.17
333,2119,6/3/2018,Boraginaceae,23 Springview Place,775-994-7398,Maroon,7.65
334,2977,5/12/2018,Lichinaceae,25669 Arrowood Pass,962-200-3731,Fuscia,5.83
335,1894,6/20/2018,Hydrophyllaceae,3128 Saint Paul Parkway,638-597-1177,Maroon,7.35
336,1348,10/24/2018,Cuscutaceae,08707 Sherman Lane,506-663-6484,Green,5.83
337,2387,7/7/2018,Myrtaceae,6 Coleman Way,247-459-7106,Maroon,8.56
338,1619,7/13/2018,Grammitidaceae,389 Northland Road,417-167-2803,Maroon,8.23
339,2517,6/18/2018,Amblystegiaceae,52127 Northport Center,289-199-6243,Pink,6.19
340,2453,7/30/2018,Thelenellaceae,83 Monterey Terrace,243-481-3050,Fuscia,5.92
341,2378,10/8/2018,Fabaceae,0893 Grayhawk Terrace,887-118-3633,Green,6.10
342,1968,6/13/2018,Violaceae,2 Troy Point,871-905-7096,Crimson,5.83
343,2871,8/28/2018,Fabaceae,54441 Cascade Park,673-623-7786,Crimson,9.42
344,2153,7/4/2018,Poaceae,41647 Farragut Hill,538-778-5010,Orange,7.41
345,2022,10/16/2018,Fabaceae,9454 Schlimgen Alley,882-235-1755,Indigo,9.82
346,1384,7/21/2018,Poaceae,91859 Mosinee Pass,772-356-1719,Pink,9.83
347,2128,6/10/2018,Dryopteridaceae,52086 Reindahl Center,810-695-4711,Turquoise,9.60
348,2918,9/10/2018,Asteraceae,71199 Merchant Place,176-230-0200,Purple,9.22
349,2305,8/6/2018,Fabaceae,3674 Northridge Avenue,582-230-9300,Puce,8.65
350,2389,7/18/2018,Saxifragaceae,7 Beilfuss Pass,257-888-8528,Puce,7.96
351,2591,9/30/2018,Myricaceae,788 Lawn Court,354-106-3183,Aquamarine,6.02
352,1099,5/15/2018,Asteraceae,296 Donald Terrace,164-129-9469,Indigo,8.49
353,1992,9/23/2018,Cupressaceae,91040 Derek Plaza,726-507-0598,Crimson,8.33
354,2694,7/23/2018,Rosaceae,89 Shelley Point,799-888-7761,Orange,9.14
355,2394,9/12/2018,Caryophyllaceae,32 Service Parkway,207-588-7223,Turquoise,9.45
356,2429,5/8/2018,Rosaceae,214 Declaration Circle,400-645-5052,Goldenrod,6.44
357,1132,7/12/2018,Brassicaceae,56192 Westport Hill,443-274-0780,Red,6.54
358,2944,6/21/2018,Scrophulariaceae,0 Tennyson Point,747-111-8116,Green,7.18
359,2623,8/29/2018,Campanulaceae,0 Everett Pass,132-849-5328,Pink,7.46
360,2840,6/18/2018,Hymeneliaceae,4139 Florence Road,602-769-5949,Turquoise,9.59
361,2748,6/7/2018,Brassicaceae,6 Lakeland Terrace,267-820-2570,Yellow,8.93
362,1707,9/17/2018,Solanaceae,36793 Briar Crest Junction,127-604-5059,Aquamarine,6.71
363,2405,9/26/2018,Xyridaceae,7195 Saint Paul Crossing,548-754-0382,Green,6.01
364,1451,7/16/2018,Apocynaceae,62963 Marcy Avenue,557-928-2077,Green,7.13
365,1611,9/7/2018,Salicaceae,9 Clemons Plaza,747-373-9522,Mauv,8.85
366,2227,6/30/2018,Cyperaceae,4 High Crossing Trail,890-209-4197,Red,5.04
367,1555,5/25/2018,Potamogetonaceae,4 Fordem Junction,975-141-4945,Green,9.16
368,2562,6/3/2018,Caryophyllaceae,525 Warbler Point,365-206-3921,Turquoise,10.00
369,1420,6/5/2018,Polygonaceae,1 Mccormick Way,157-440-7601,Orange,5.19
370,2553,7/8/2018,Asteraceae,356 Russell Way,154-551-2500,Crimson,8.77
371,2299,6/25/2018,Hypnaceae,87184 Prairie Rose Alley,682-557-4931,Crimson,6.13
372,2806,10/26/2018,Loasaceae,661 Sauthoff Park,280-822-8461,Green,8.20
373,1652,9/26/2018,Porpidiaceae,8012 Charing Cross Parkway,647-574-6105,Turquoise,7.73
374,2385,5/8/2018,Arthoniaceae,93215 Atwood Terrace,274-437-2502,Pink,5.33
375,2802,8/20/2018,Rutaceae,7350 Del Mar Trail,564-265-3576,Green,9.40
376,2504,10/13/2018,Polemoniaceae,44623 Lotheville Park,332-831-9584,Indigo,6.91
377,1145,9/18/2018,Rubiaceae,64 Southridge Avenue,106-143-7146,Mauv,9.00
378,2473,9/7/2018,Boraginaceae,532 Burning Wood Point,252-770-8144,Mauv,9.89
379,2079,8/29/2018,Araceae,67 Clarendon Terrace,258-888-0277,Aquamarine,9.59
380,2487,10/13/2018,Apiaceae,195 Granby Avenue,107-523-5332,Goldenrod,7.20
381,1565,6/23/2018,Crassulaceae,60 Continental Crossing,172-967-2013,Puce,8.54
382,2944,8/13/2018,Pottiaceae,625 Continental Parkway,879-326-8570,Blue,7.60
383,2931,5/13/2018,Fabaceae,2058 Pierstorff Terrace,388-519-6508,Teal,8.77
384,1242,10/27/2018,Caryophyllaceae,41 Morrow Drive,868-564-2873,Violet,8.41
385,1141,5/14/2018,Garryaceae,08885 Farwell Point,531-718-4970,Aquamarine,5.28
386,1109,8/10/2018,Asteraceae,65 Oxford Parkway,481-473-8061,Mauv,7.08
387,1849,7/24/2018,Primulaceae,34891 Oxford Place,398-124-0841,Purple,6.86
388,2878,5/2/2018,Fabaceae,4082 Johnson Center,637-154-9676,Khaki,7.59
389,1389,6/4/2018,Chenopodiaceae,007 Westport Trail,419-679-6013,Blue,9.79
390,2523,5/4/2018,Climaciaceae,53350 Grasskamp Point,740-427-4904,Yellow,7.92
391,2988,8/15/2018,Poaceae,6542 Washington Road,671-359-0814,Pink,6.78
392,2919,9/19/2018,Fabaceae,40105 Reindahl Road,975-906-5788,Pink,6.09
393,1872,5/1/2018,Cyperaceae,137 Dakota Pass,671-806-4119,Indigo,5.81
394,2588,7/2/2018,Brassicaceae,6966 Lukken Plaza,699-132-0962,Orange,8.90
395,2976,8/4/2018,Boraginaceae,85520 Orin Road,257-230-0703,Pink,5.94
396,2185,8/10/2018,Leucodontaceae,5 Gina Drive,474-183-2385,Green,6.12
397,2105,9/24/2018,Violaceae,0 Carioca Park,511-942-6763,Orange,8.90
398,1193,5/9/2018,Fabaceae,599 Pepper Wood Parkway,207-718-4166,Violet,9.57
399,1622,9/18/2018,Sapindaceae,46891 Lien Crossing,128-627-0057,Khaki,5.29
400,2251,6/24/2018,Asteraceae,8 Shoshone Plaza,822-878-5684,Teal,7.38
401,1645,8/26/2018,Thelypteridaceae,673 Daystar Terrace,136-856-4512,Aquamarine,6.77
402,2533,7/7/2018,Liliaceae,13686 Carey Trail,191-802-6275,Aquamarine,8.25
403,2556,10/18/2018,Hypnaceae,89 Eastwood Circle,673-946-0404,Green,7.52
404,1196,7/25/2018,Lamiaceae,6456 Dovetail Terrace,303-281-6563,Green,9.66
405,2853,7/1/2018,Asteraceae,18987 Utah Parkway,237-807-7708,Turquoise,9.76
406,2062,6/24/2018,Asteraceae,0958 Westend Trail,628-716-9255,Pink,5.78
407,1068,5/28/2018,Asteraceae,906 Montana Trail,745-841-6762,Khaki,9.57
408,1496,5/25/2018,Cactaceae,54085 Dixon Pass,403-148-9922,Blue,5.17
409,1950,8/14/2018,Campanulaceae,580 Sutherland Circle,439-135-0107,Yellow,5.02
410,2662,6/17/2018,Rhamnaceae,44483 Continental Court,424-873-2023,Indigo,7.04
411,2274,6/6/2018,Lamiaceae,737 Texas Trail,417-755-9023,Goldenrod,8.42
412,1643,6/21/2018,Ulmaceae,7 Corscot Hill,714-663-4903,Green,7.51
413,1737,10/22/2018,Asteraceae,4 Hanover Way,541-395-4747,Maroon,6.72
414,2566,10/15/2018,Alismataceae,7442 Oak Road,975-194-1808,Turquoise,5.82
415,2713,10/4/2018,Asteraceae,5277 Fallview Trail,577-817-7183,Yellow,6.87
416,1805,9/11/2018,Cladoniaceae,07 Jackson Alley,420-462-4705,Mauv,8.93
417,2358,8/20/2018,Crassulaceae,30817 American Ash Center,994-980-9021,Blue,9.68
418,1537,10/30/2018,Asteraceae,308 Schmedeman Pass,441-141-2469,Fuscia,6.20
419,1709,6/29/2018,Boraginaceae,3 Maryland Point,581-129-0851,Orange,6.28
420,2053,8/9/2018,Diapensiaceae,692 7th Circle,623-682-6348,Red,9.51
421,2981,10/15/2018,Vitaceae,79350 Morrow Pass,527-678-8941,Fuscia,8.58
422,1586,8/10/2018,Buxbaumiaceae,2545 Fallview Road,389-723-2654,Crimson,5.55
423,1502,5/29/2018,Euphorbiaceae,495 Caliangt Pass,729-494-2290,Khaki,6.71
424,1213,5/18/2018,Liliaceae,63049 Summer Ridge Plaza,219-781-1496,Pink,9.40
425,2738,10/26/2018,Fabaceae,660 David Plaza,668-350-4238,Orange,6.36
426,1238,7/9/2018,Cyperaceae,63 Calypso Lane,653-992-2813,Green,8.79
427,1551,9/29/2018,Orchidaceae,339 Lunder Parkway,455-339-7212,Khaki,7.33
428,1533,9/12/2018,Funariaceae,2 6th Drive,545-374-3252,Blue,7.74
429,1485,10/11/2018,Cyperaceae,41316 Judy Point,938-819-8554,Blue,7.38
430,2383,6/29/2018,Cyperaceae,08 Lakewood Gardens Alley,970-636-4741,Red,7.81
431,2234,5/3/2018,Orchidaceae,42395 Knutson Junction,437-491-0487,Red,6.36
432,1654,6/24/2018,Dryopteridaceae,7 Aberg Hill,317-135-8334,Red,8.55
433,1002,6/28/2018,Gentianaceae,3069 Bay Street,678-685-8787,Teal,7.39
434,2762,5/26/2018,Ranunculaceae,2569 Walton Way,696-573-4875,Puce,5.97
435,2645,6/29/2018,Lamiaceae,8190 Miller Place,208-900-2169,Orange,8.54
436,1997,9/14/2018,Caliciaceae,88 Paget Place,869-668-5809,Goldenrod,8.12
437,2626,10/10/2018,Boraginaceae,828 Shelley Junction,544-317-3222,Violet,9.84
438,1136,7/6/2018,Poaceae,4 Cordelia Drive,371-469-2245,Green,6.88
439,2184,5/9/2018,Liliaceae,1 Algoma Parkway,877-884-2788,Orange,7.24
440,1808,9/16/2018,Boraginaceae,12430 Riverside Circle,347-867-6227,Mauv,9.28
441,2871,6/3/2018,Saxifragaceae,12 Brown Hill,233-496-6031,Aquamarine,6.15
442,1148,6/19/2018,Polygonaceae,06052 Oakridge Circle,527-472-8436,Goldenrod,6.71
443,1064,6/17/2018,Asteraceae,8 Manitowish Street,956-592-6298,Crimson,7.41
444,1565,5/19/2018,Scrophulariaceae,225 Thompson Drive,677-732-0337,Turquoise,6.23
445,2233,10/13/2018,Polemoniaceae,1406 Declaration Avenue,508-340-8561,Green,5.55
446,2232,10/6/2018,Scrophulariaceae,9 Coleman Junction,518-754-2896,Pink,9.60
447,1358,7/6/2018,Cyperaceae,035 Chive Center,976-718-5992,Pink,7.42
448,1749,7/28/2018,Liliaceae,261 Northridge Street,996-256-3210,Red,7.11
449,2660,7/12/2018,Caryophyllaceae,75699 Springs Lane,629-664-6085,Pink,8.85
450,2348,8/10/2018,Liliaceae,024 Nancy Parkway,625-575-0441,Indigo,9.03
451,1831,10/2/2018,Rosaceae,8 Rowland Way,557-249-0304,Teal,6.46
452,1210,8/3/2018,Cyperaceae,6 Starling Circle,818-276-4974,Mauv,8.59
453,2376,7/24/2018,Lamiaceae,2782 Butterfield Crossing,522-451-7069,Mauv,6.53
454,1202,10/4/2018,Rosaceae,6213 Schiller Drive,188-353-7708,Green,7.20
455,1232,5/8/2018,Solanaceae,111 Bluestem Circle,464-735-1130,Puce,7.39
456,1296,9/8/2018,Sphagnaceae,6880 Red Cloud Circle,310-490-8808,Aquamarine,6.17
457,1492,6/26/2018,Plumbaginaceae,929 Johnson Point,665-336-4683,Turquoise,9.13
458,1794,9/30/2018,Poaceae,08 Dryden Crossing,560-584-5591,Violet,7.35
459,1093,8/15/2018,Asteraceae,5 Loftsgordon Pass,425-956-5928,Fuscia,6.99
460,2969,8/1/2018,Rosaceae,01348 Blaine Pass,644-323-6188,Puce,8.54
461,1919,8/8/2018,Nyctaginaceae,74 Montana Parkway,292-704-7389,Green,9.92
462,1584,5/22/2018,Strigulaceae,98099 Mariners Cove Junction,379-131-6735,Green,6.89
463,2107,9/10/2018,Liliaceae,29604 Dottie Court,453-941-3710,Indigo,5.96
464,1980,7/24/2018,Rubiaceae,16 Trailsway Park,140-763-2789,Indigo,7.26
465,1041,10/26/2018,Asteraceae,85669 Badeau Lane,495-132-1898,Yellow,6.42
466,2759,10/5/2018,Pyrenulaceae,7 Linden Hill,292-987-3813,Violet,9.14
467,1157,7/4/2018,Polygonaceae,3 Manufacturers Lane,303-326-9106,Khaki,7.65
468,1199,7/8/2018,Cyperaceae,3 Mccormick Hill,104-406-0597,Mauv,7.34
469,1189,7/2/2018,Juncaceae,6823 Dunning Avenue,860-129-4507,Green,5.46
470,1285,7/6/2018,Lauraceae,41 Ludington Court,994-559-6133,Red,7.13
471,2110,7/22/2018,Rosaceae,1445 Thierer Lane,760-145-4555,Maroon,5.86
472,2224,6/6/2018,Ericaceae,8 Stang Lane,996-787-0488,Khaki,9.72
473,2878,7/4/2018,Fabaceae,9 Bayside Way,451-229-3031,Indigo,7.63
474,2674,7/14/2018,Ranunculaceae,46 Thierer Parkway,779-769-5185,Yellow,5.54
475,2271,6/18/2018,Malvaceae,2 La Follette Drive,639-569-4741,Green,8.00
476,2482,7/6/2018,Balsaminaceae,60272 Eggendart Plaza,841-999-7612,Aquamarine,7.73
477,2232,9/25/2018,Boraginaceae,195 Washington Hill,875-661-8679,Green,9.91
478,2935,8/1/2018,Rubiaceae,70453 Crest Line Lane,132-492-5653,Goldenrod,6.62
479,1417,5/22/2018,Asteraceae,2357 Clyde Gallagher Court,599-932-8407,Pink,6.49
480,1295,6/15/2018,Andreaeaceae,5 Portage Parkway,267-558-2307,Yellow,6.94
481,1491,6/13/2018,Dioscoreaceae,20 Stone Corner Park,380-665-9158,Puce,6.74
482,2779,7/11/2018,Asteraceae,936 Meadow Valley Plaza,156-418-4346,Crimson,8.09
483,1987,5/14/2018,Flacourtiaceae,003 Superior Place,423-566-9933,Fuscia,9.82
484,2025,5/7/2018,Malvaceae,30 Stone Corner Drive,774-268-8104,Green,9.13
485,1069,5/13/2018,Cyperaceae,9038 Riverside Parkway,628-214-3127,Yellow,5.65
486,1243,7/25/2018,Fabaceae,99 Bartelt Terrace,266-441-9216,Aquamarine,7.40
487,1908,10/30/2018,Polemoniaceae,345 Ohio Pass,588-297-3798,Pink,8.37
488,1745,10/31/2018,Apiaceae,6250 Anniversary Lane,393-381-7564,Green,6.71
489,2247,6/2/2018,Lamiaceae,11 Emmet Street,895-644-4641,Indigo,6.31
490,1225,6/11/2018,Asteraceae,5163 Pankratz Road,887-518-4365,Turquoise,6.53
491,2171,6/26/2018,Asteraceae,73 Esker Drive,592-524-0310,Yellow,7.35
492,1470,8/15/2018,Asteraceae,16 Hintze Parkway,182-705-7864,Goldenrod,6.80
493,2689,7/28/2018,Ebenaceae,0243 Anthes Road,536-257-2271,Teal,9.24
494,1062,5/25/2018,Papaveraceae,44756 Canary Hill,975-170-0203,Violet,8.82
495,1348,7/13/2018,Celastraceae,143 Reindahl Road,211-129-7249,Mauv,9.47
496,1326,10/2/2018,Poaceae,0 Forest Dale Way,301-323-9727,Indigo,5.86
497,2481,7/28/2018,Poaceae,67 Division Road,939-909-4382,Puce,9.95
498,2706,9/22/2018,Rosaceae,9 Hanson Plaza,544-266-4369,Fuscia,7.56
499,2196,10/5/2018,Cyperaceae,14 Linden Parkway,264-818-8435,Crimson,10.00
500,1469,5/5/2018,Lamiaceae,0 Parkside Alley,957-706-4786,Green,7.39
501,1355,6/6/2018,Rosaceae,68643 Maple Way,966-237-8881,Puce,5.25
502,2665,7/23/2018,Ranunculaceae,9854 Canary Trail,560-847-3229,Khaki,6.12
503,1359,5/11/2018,Pinaceae,60714 Charing Cross Alley,811-330-8694,Pink,5.51
504,2624,9/12/2018,Ericaceae,0 Talmadge Hill,252-418-5556,Puce,9.97
505,2460,7/28/2018,Mycocaliciaceae,3215 Boyd Center,262-215-1681,Turquoise,9.87
506,2946,7/26/2018,Cladoniaceae,8 Amoth Alley,516-338-0859,Crimson,7.10
507,2776,5/6/2018,Solanaceae,5131 Dexter Road,237-715-2045,Red,5.80
508,1909,5/9/2018,Bacidiaceae,2 Brickson Park Drive,773-770-4974,Puce,5.78
509,1864,5/29/2018,Poaceae,76 Westport Trail,804-183-9949,Mauv,8.93
510,1908,6/30/2018,Campanulaceae,2566 Weeping Birch Plaza,215-567-3452,Indigo,8.45
511,1441,8/5/2018,Onagraceae,4 Harper Pass,811-987-8795,Khaki,9.35
512,2020,5/5/2018,Liliaceae,86 Harbort Park,855-967-9459,Khaki,8.91
513,1611,10/8/2018,Polygonaceae,28 Forest Trail,887-322-7742,Violet,8.55
514,2372,10/21/2018,Selaginellaceae,51 Larry Plaza,198-369-5887,Puce,6.18
515,2893,5/30/2018,Asteraceae,5842 Charing Cross Lane,210-452-6040,Yellow,6.70
516,1536,5/26/2018,Fabaceae,35 Burning Wood Road,942-849-4302,Blue,5.01
517,2817,8/4/2018,Rutaceae,37832 Ridgeway Court,436-809-0055,Fuscia,5.43
518,2049,9/6/2018,Fabaceae,3 Shoshone Park,250-519-2178,Orange,7.23
519,2477,8/6/2018,Fabaceae,50 Service Center,437-288-9653,Aquamarine,9.85
520,2445,5/26/2018,Myrtaceae,14601 Cardinal Parkway,287-247-8024,Aquamarine,9.32
521,2565,5/22/2018,Rubiaceae,9 Graedel Plaza,354-170-8477,Goldenrod,6.44
522,1207,8/18/2018,Scrophulariaceae,2 Judy Place,795-464-7561,Turquoise,7.60
523,1563,5/5/2018,Cactaceae,29 Lake View Circle,525-204-3224,Mauv,9.41
524,1777,8/10/2018,Parmeliaceae,260 Waywood Street,569-754-7724,Crimson,9.93
525,2721,7/10/2018,Taxaceae,2651 Alpine Hill,248-326-5630,Goldenrod,8.95
526,1268,7/7/2018,Pottiaceae,31 Elmside Alley,672-711-6826,Red,5.96
527,2102,10/12/2018,Caryophyllaceae,8000 Calypso Terrace,706-389-5892,Blue,9.39
528,1834,10/21/2018,Asteraceae,54046 Elka Court,745-875-8304,Green,5.77
529,2303,9/12/2018,Malvaceae,60512 Pennsylvania Pass,140-460-5650,Goldenrod,6.49
530,1289,6/11/2018,Heliconiaceae,964 Summit Drive,288-549-7392,Fuscia,9.84
531,2616,10/11/2018,Arthopyreniaceae,488 Oak Drive,426-318-0998,Blue,9.05
532,1378,10/6/2018,Cyperaceae,1626 Hermina Junction,609-429-5018,Blue,9.14
533,2310,6/26/2018,Asteraceae,58522 8th Road,103-658-8345,Teal,6.82
534,2663,10/26/2018,Onagraceae,3343 Donald Junction,347-931-4724,Purple,8.38
535,1112,9/4/2018,Asteraceae,9187 Buhler Point,825-118-6777,Pink,7.72
536,2152,10/19/2018,Asteraceae,529 Hazelcrest Park,707-849-3839,Purple,5.04
537,1206,7/1/2018,Euphorbiaceae,3 Fallview Drive,585-580-2681,Green,7.64
538,1484,10/3/2018,Rosaceae,352 Walton Lane,191-391-7053,Blue,5.27
539,1853,5/2/2018,Hydrophyllaceae,16642 Armistice Hill,740-331-8625,Aquamarine,9.38
540,2078,9/9/2018,Loasaceae,1482 La Follette Place,169-658-7672,Puce,5.77
541,2272,7/1/2018,Poaceae,92246 Pankratz Point,419-791-2595,Teal,9.23
542,1537,9/27/2018,Fabaceae,836 Cherokee Way,770-675-8764,Maroon,6.12
543,2764,9/20/2018,Asteraceae,8 Talmadge Park,381-423-7514,Orange,9.21
544,1979,7/3/2018,Opegraphaceae,59246 Cherokee Road,132-908-1102,Purple,6.37
545,1270,8/21/2018,Polygonaceae,819 Crowley Terrace,103-889-6512,Orange,6.83
546,2047,7/31/2018,Primulaceae,8 Warbler Pass,811-380-2588,Orange,5.56
547,1491,7/24/2018,Dryopteridaceae,110 Beilfuss Lane,972-271-2875,Teal,8.67
548,2247,7/1/2018,Asclepiadaceae,7378 Saint Paul Center,184-417-2018,Purple,9.20
549,1074,7/9/2018,Sarraceniaceae,5998 Vernon Lane,313-500-8078,Yellow,9.06
550,2080,9/10/2018,Cyperaceae,7 Muir Terrace,185-146-0415,Fuscia,9.72
551,2056,7/10/2018,Apiaceae,1211 Blaine Way,892-669-6984,Goldenrod,7.61
552,2608,8/27/2018,Fagaceae,1 Paget Point,556-564-2585,Puce,7.90
553,1180,10/12/2018,Amblystegiaceae,72179 Glacier Hill Circle,669-692-8616,Mauv,5.42
554,2858,10/12/2018,Rubiaceae,34 Steensland Street,852-220-6748,Maroon,5.76
555,2936,8/31/2018,Violaceae,71 Longview Park,727-586-8612,Indigo,6.55
556,1626,5/27/2018,Fabaceae,171 Moose Terrace,101-581-4591,Red,5.98
557,1201,10/22/2018,Scrophulariaceae,29 Sycamore Point,863-614-1254,Aquamarine,5.08
558,1778,5/7/2018,Fabaceae,39933 Pennsylvania Avenue,453-835-7896,Turquoise,8.12
559,1100,5/20/2018,Asteraceae,6816 Portage Park,763-750-6802,Khaki,9.85
560,1478,9/2/2018,Myrtaceae,0443 Everett Road,808-563-6889,Pink,8.81
561,2164,8/13/2018,Poaceae,96937 Welch Pass,322-307-3468,Maroon,5.69
562,2570,8/23/2018,Fabaceae,2103 Warrior Trail,711-740-5767,Yellow,5.61
563,1357,6/8/2018,Rutaceae,47 Homewood Street,788-312-7002,Indigo,6.68
564,1658,9/17/2018,Polygonaceae,9 Hollow Ridge Point,245-190-9148,Khaki,5.47
565,2475,10/31/2018,Asteraceae,4 Cordelia Parkway,913-946-6704,Pink,8.31
566,1045,9/16/2018,Hydrophyllaceae,16 Badeau Pass,208-904-9879,Mauv,9.42
567,2060,9/20/2018,Malvaceae,59 Tennessee Trail,200-305-9240,Violet,5.95
568,1331,9/13/2018,Lardizabalaceae,95 Schmedeman Parkway,121-141-8449,Khaki,6.04
569,1116,6/5/2018,Crassulaceae,12754 Gale Avenue,873-825-7156,Teal,7.55
570,2775,7/1/2018,Scrophulariaceae,23 Vahlen Plaza,907-630-5218,Pink,7.21
571,1577,10/25/2018,Verbenaceae,229 Bowman Way,634-319-1017,Orange,9.04
572,2480,8/20/2018,Polygonaceae,46774 Brentwood Road,970-413-0006,Fuscia,9.91
573,2809,7/20/2018,Parmeliaceae,8 Dawn Lane,244-844-9773,Turquoise,7.36
574,1013,6/2/2018,Sphagnaceae,40085 American Plaza,393-108-4076,Yellow,9.98
575,2385,6/27/2018,Poaceae,82 Norway Maple Terrace,605-457-7949,Orange,8.53
576,2662,9/27/2018,Brassicaceae,6 Commercial Alley,975-576-5701,Teal,7.71
577,2943,5/27/2018,Asteraceae,4 Vidon Parkway,804-167-0509,Aquamarine,9.63
578,2132,6/29/2018,Pottiaceae,7463 Shasta Street,562-958-7744,Indigo,7.87
579,1968,5/15/2018,Umbilicariaceae,1410 Linden Plaza,190-354-5930,Yellow,8.93
580,1777,10/30/2018,Selaginellaceae,0 Farragut Lane,752-826-8704,Blue,8.25
581,1179,9/29/2018,Asteraceae,8 Kedzie Pass,314-638-5055,Blue,9.18
582,1455,8/6/2018,Rubiaceae,30054 Summit Plaza,395-585-4267,Goldenrod,9.30
583,1414,5/13/2018,Polygalaceae,711 Meadow Ridge Parkway,226-551-1972,Turquoise,5.46
584,1358,10/20/2018,Hydrophyllaceae,83921 Delladonna Lane,123-594-2884,Crimson,6.99
585,1848,10/25/2018,Aquifoliaceae,3034 Sheridan Terrace,886-433-1014,Fuscia,8.46
586,2880,8/2/2018,Pteridaceae,17458 Debs Lane,603-199-9758,Indigo,9.69
587,1658,5/5/2018,Portulacaceae,08 Fallview Way,924-564-3602,Violet,8.45
588,1185,8/16/2018,Poaceae,2045 Walton Road,822-492-0584,Khaki,8.38
589,1328,5/22/2018,Fabaceae,8 Lakewood Terrace,123-583-4939,Indigo,6.07
590,2009,6/18/2018,Poaceae,86 Linden Lane,938-160-2191,Khaki,9.64
591,2500,5/31/2018,Rosaceae,0 Bashford Road,389-381-5958,Yellow,6.00
592,2178,7/30/2018,Lamiaceae,79567 Dovetail Place,657-538-3588,Indigo,5.96
593,2698,9/29/2018,Lamiaceae,8885 Mockingbird Junction,913-135-0697,Pink,6.12
594,1233,7/28/2018,Rhizocarpaceae,4716 Anniversary Terrace,459-986-7321,Violet,6.02
595,1412,9/21/2018,Euphorbiaceae,85005 Elka Plaza,585-550-8911,Indigo,7.52
596,1389,9/22/2018,Onagraceae,3202 Declaration Place,579-544-7585,Green,5.34
597,2853,7/4/2018,Rubiaceae,3 Bayside Junction,161-654-2870,Fuscia,5.30
598,1996,8/11/2018,Caryophyllaceae,80 Troy Crossing,871-842-5213,Orange,7.93
599,1978,9/11/2018,Oxalidaceae,00 Fulton Park,849-698-1212,Khaki,5.20
600,2682,10/4/2018,Polygonaceae,00 Swallow Center,469-695-9406,Pink,6.94
601,1921,9/4/2018,Gentianaceae,7 Mariners Cove Hill,303-559-8863,Turquoise,8.84
602,2219,8/1/2018,Lecanoraceae,96519 Glendale Avenue,970-377-6088,Mauv,7.91
603,1422,7/5/2018,Amaranthaceae,055 Walton Drive,557-515-7665,Crimson,8.68
604,1428,10/23/2018,Poaceae,621 Fordem Way,464-998-7736,Green,7.48
